,name,pri,casrn,class,mw,use
0,1-(3-chlorophthalimido)cyclohexanecarboxamide,10,51971-67-6,Carboxamide,0,Not Listed
1,"1-(4-phenyl phenoxy)-1-(1,2,4-triazole-1)-3,3-dimethyl butane-2-ol",11,Not Listed,Azole,0,Fungicide
2,"1-(6-Isopropyl-1,1,4-trimethyl-5-indanyl)-1-propanone",12,6682-77-5,Not Listed,0,Not Listed
3,1-(8-Hydroxy-5-quinolinyl)ethonone sulfate (2:1) salt,13,23267-58-5,Not Listed,0,Not Listed
4,"1-(8-Methoxy-4,8-dimethylnonyl)-4-(1-methylethyl)benzene",14,53905-38-7,Not Listed,0,Not Listed
5,1-(alkyl-amino)-3-aminopropane hydrochloride,15,Not Listed,Alkyl Amino Propane,0,Microbiocide
6,"1-(Alkyl* amino)-3-aminopropane *(47%C12, 18%C14, 10%C18, 9%C10, 8%C16, 8%C8)",16,61791-67-1,Alkyl Amino Propane,0,Microbiocide
7,1-(Alkyl* amino)-3-aminopropane *(as in fatty acids of coconut oil),17,61791-63-7,Alkyl Amino Propane,0,Microbiocide
8,"1-(Alkyl* amino)-3-aminopropane diacetate *(37%C18', 29%C16, 23%C18, 3%C16', 3%C14, 1.5%C18"", 1%C14', 1%C12, 0.5%C15)",18,68911-78-4,Alkyl Amino Propane,0,Microbiocide
9,1-(Alkyl* amino)-3-aminopropane diacetate *(as in fatty acids of coconut oil),19,Not Listed,Alkyl Amino Propane,0,Microbiocide
10,"1-(Alkyl* amino)-3-aminopropane monoacetate *(47%C12, 18%C14, 10%C18, 9%C10, 8%C16, 8%C8)",20,Not Listed,Alkyl Amino Propane,0,"Algaecide,Microbiocide"
11,1-(Alkyl* amino)-3-aminopropane propionate-copper acetate complex,21,Not Listed,Alkyl Amino Propane,0,Microbiocide
12,1-(alkylamino)-3-aminopropane,22,"68155-37-3, 68439-71-4",Alkyl Amino Propane,0,Microbiocide
13,1-(alkylamino)-3-carboxymethylaminopropane,23,Not Listed,Alkyl Amino Propane,0,Microbiocide
14,1-(Bromoacetoxy)-2-propanol,24,4189-47-3,Not Listed,0,Not Listed
15,1-(Dodecylbenzyl)pyridinium chloride,25,30901-67-8,Not Listed,0,Not Listed
16,"1-(p-chlorophenyl)-2,8,9-trioxa-5-aza-1-silabicyclo(3.3.3)undecane",26,29025-67-0,Not Listed,0,Not Listed
17,1-(para-tert-butyl phenoxy)-1-(2-butynyl) sulfite,27,38827-71-3,Not Listed,0,Insecticide
18,Imidacloprid des nitro acetate,29,Not Listed,Chloro-nicotinyl,0,Breakdown product
19,Imidacloprid des nitro HCl,30,Not Listed,Chloro-nicotinyl,0,Breakdown product
20,1-Alkyl (C6 to C18) amino-3-aminopropane acetate,31,Not Listed,Alkyl Amino Propane,0,Microbiocide
21,"1-Alkyl*-3-ethyl-2-methylpyridinium bromide *(60% C12, 30% C14, 10% C16)",32,Not Listed,Not Listed,0,Not Listed
22,"1-Alkyl*-5-ethyl-2-methylpyridinium bromide *(60% C12, 30% C14, 10% C16)",33,Not Listed,Not Listed,0,Not Listed
23,"1-alkylamino-2-aminopropane monoacetate, alkyl derived from coconut oil fatty acids",34,61791-64-8,Alkyl Amino Propane,0,Microbiocide
24,"1-Alkylamino-3-aminopropane hydroxyacetate, alkyl derived from coconut oil fatty acids",35,68155-43-1,Alkyl Amino Propane,0,"Microbiocide,Soap or Surfactant"
25,1-alpha-Hydroxycholecalciferol,36,41294-56-8,Not Listed,0,Not Listed
26,1-alpha-Hydroxyergocalciferol,37,54573-75-0,Not Listed,0,Not Listed
27,1-Benzyl-2-heptadecadienyl-2-imidazolinium chloride,38,82010-73-9,Not Listed,0,Not Listed
